DaysPostVax,Animal,OD,Group
wk12,16.4,0.1086,Ec
wk12,16.5,0.07035,Ec
d84/wk12,16.6,0.0739,Ec
d91/wk13,1.1,0.0271,EcA
wk13,1.2,0.02845,EcA
wk13,1.7,0.07805,EcA
wk13,3.2,0.2339,EcA
wk13,3.3,0.26,EcA
wk13,3.4,0.2543,EcA
wk13,5.1,0.076,EcA
wk13,5.2,0.06315,EcA
wk13,5.3,0.08725,EcA
wk13,5.5,0.06575,EcA
wk13,12.5,0.08425,Ec
wk13,12.6,0.134,Ec
wk13,12.7,0.10165,Ec
wk13,14.1,0.2032,Ec
wk13,14.2,0.08405,Ec
wk13,14.4,0.0322,Ec
wk13,14.6,0.07615,Ec
wk13,15.1,0.02545,Ec
wk13,15.3,0.06445,Ec
wk13,15.4,0.10555,Ec
wk13,16.1,0.05185,Ec
wk13,16.4,0.138,Ec
wk13,16.5,0.03735,Ec
d91/wk13,16.6,0.0834,Ec
d98/wk14,1.1,0.01865,EcA
wk14,1.2,0.0271,EcA
wk14,1.7,0.0671,EcA
wk14,3.2,0.1655,EcA
wk14,3.3,0.2209,EcA
wk14,3.4,0.1219,EcA
wk14,5.1,0.0656,EcA
wk14,5.2,0.1019,EcA
wk14,5.3,0.204,EcA
wk14,5.5,0.13495,EcA
wk14,12.5,0.0415,Ec
wk14,12.6,0.048,Ec
wk14,12.7,0.0558,Ec
wk14,14.1,0.07225,Ec
wk14,14.2,0.11885,Ec
wk14,14.4,0.07335,Ec
wk14,14.6,0.1236,Ec
wk14,15.1,0.06095,Ec
wk14,15.3,0.0497,Ec
wk14,15.4,0.08875,Ec
wk14,16.4,0.0507,Ec
wk14,16.5,0.04545,Ec
d98/wk14,16.6,0.073,Ec
d105/wk15,1.1,0.03375,EcA
wk15,1.2,0.03255,EcA
wk15,1.7,0.0886,EcA
wk15,3.2,0.1642,EcA
wk15,3.3,0.19395,EcA
wk15,3.4,0.0637,EcA
wk15,5.1,0.03855,EcA
wk15,5.2,0.04155,EcA
wk15,5.3,0.0488,EcA
wk15,5.5,0.04685,EcA
wk15,12.5,0.03725,Ec
wk15,12.6,0.03365,Ec
wk15,12.7,0.06765,Ec
wk15,14.1,0.0622,Ec
wk15,14.2,0.16545,Ec
wk15,14.4,0.07525,Ec
wk15,14.6,0.08125,Ec
wk15,15.1,0.06525,Ec
wk15,15.3,0.08075,Ec
wk15,15.4,0.2136,Ec
wk15,16.1,0.04775,Ec
wk15,16.4,0.1184,Ec
wk15,16.5,0.0939,Ec
d105/wk15,16.6,0.07595,Ec
d112/wk16,1.1,0.0805,EcA
wk16,1.2,0.0244,EcA
wk16,1.7,0.0214,EcA
wk16,3.2,0.12175,EcA
wk16,3.3,0.1656,EcA
wk16,3.4,0.05765,EcA
wk16,5.1,0.0412,EcA
wk16,5.2,0.05395,EcA
wk16,5.3,0.04605,EcA
wk16,5.5,0.03755,EcA
wk16,12.5,0.023,Ec
wk16,12.6,0.03375,Ec
wk16,12.7,0.04055,Ec
wk16,14.1,0.10655,Ec
wk16,14.2,0.0467,Ec
wk16,14.4,0.02875,Ec
wk16,14.6,0.04775,Ec
wk16,15.1,0.0299,Ec
wk16,15.3,0.0403,Ec
wk16,15.4,0.06375,Ec
wk16,16.1,0.0238,Ec
wk16,16.4,0.11625,Ec
wk16,16.5,0.016,Ec
d112/wk16,16.6,0.04415,Ec
d119/wk17,1.1,0.0237,EcA
wk17,1.2,0.01485,EcA
wk17,1.7,0.0527,EcA
wk17,3.2,0.0589,EcA
wk17,3.3,0.131,EcA
wk17,3.4,0.04465,EcA
wk17,5.1,0.02615,EcA
wk17,5.2,0.0356,EcA
wk17,5.3,0.03585,EcA
wk17,5.5,0.0192,EcA
wk17,12.5,0.0118,Ec
wk17,12.6,0.0224,Ec
wk17,12.7,0.02985,Ec
wk17,14.1,0.01915,Ec
wk17,14.2,0.03575,Ec
wk17,14.4,0.02245,Ec
wk17,14.6,0.03655,Ec
wk17,15.1,0.01665,Ec
wk17,15.3,0.0372,Ec
wk17,15.4,0.04315,Ec
wk17,16.1,0.01505,Ec
wk17,16.4,0.0672,Ec
wk17,16.5,0.01795,Ec
d119/wk17,16.6,0.0545,Ec
